study_time_min,practice_completion_rate,avg_quiz_score,quiz_attempts,hint_usage_rate,attendance_rate,days_since_last_activity,stress_index,prereq_mastery,device_reliability,mastery,gender,ses_index,first_gen
208.7,0.051,64.3,5,0.755,0.863,3.2,0.13,0.26,0.729,1,0,0.804,0
135.7,0.877,80.7,7,0.479,0.601,4.0,0.397,0.24,0.829,0,2,0.869,1
102.6,0.168,78.8,6,0.067,0.663,10.7,0.889,0.5,0.62,0,1,0.188,0
234.9,0.784,72.3,5,0.147,0.265,5.3,0.647,0.257,0.908,1,1,0.535,1
95.3,0.232,59.9,5,0.343,0.953,3.2,0.505,0.323,0.58,1,1,0.343,0
141.8,0.328,71.1,7,0.512,0.726,1.1,0.38,0.594,0.654,1,2,0.387,0
390.3,0.279,52.3,6,0.403,0.853,3.3,0.838,0.753,0.882,1,0,0.591,0
43.7,0.223,65.2,4,0.323,0.59,1.6,0.382,0.52,0.797,1,2,0.501,0
199.8,0.39,56.5,2,0.292,0.911,9.2,0.365,0.638,0.63,1,0,0.371,0
121.7,0.361,74.3,6,0.24,0.874,4.2,0.446,0.777,0.61,1,0,0.727,1
167.3,0.677,57.2,3,0.349,0.749,2.9,0.806,0.82,0.653,1,1,0.741,0
143.2,0.757,67.7,7,0.552,0.492,2.1,0.692,0.155,0.661,0,2,0.026,1
111.4,0.376,87.9,3,0.31,0.741,0.5,0.671,0.626,0.768,1,2,0.361,0
228.1,0.782,83.2,3,0.204,0.603,4.6,0.484,0.858,0.831,1,2,0.25,0
398.6,0.783,57.6,4,0.729,0.934,3.7,0.699,0.127,0.862,1,2,0.718,1
312.6,0.335,62.7,6,0.135,0.691,7.9,0.371,0.421,0.839,0,2,0.54,1
362.7,0.416,86.9,3,0.611,0.913,1.5,0.347,0.48,0.759,1,1,0.961,0
68.2,0.794,81.9,3,0.178,0.489,2.5,0.315,0.412,0.86,1,0,0.432,0
223.3,0.912,66.4,4,0.322,0.616,13.5,0.35,0.412,0.472,0,2,0.673,0
271.4,0.757,65.2,5,0.271,0.641,10.3,0.198,0.849,0.596,1,1,0.351,0
260.8,0.086,67.7,1,0.245,0.848,4.7,0.781,0.294,0.619,1,1,0.326,1
357.9,0.316,40.8,4,0.097,0.293,4.4,0.658,0.336,0.569,1,1,0.096,0
282.6,0.914,73.9,6,0.217,0.722,8.0,0.723,0.345,0.289,1,0,0.256,1
318.6,0.275,87.2,7,0.115,0.815,5.5,0.453,0.338,0.603,0,2,0.334,0
539.7,0.963,69.6,2,0.468,0.674,2.0,0.711,0.293,0.773,1,2,0.709,0
230.6,0.536,52.1,5,0.056,0.734,4.6,0.793,0.514,0.38,1,1,0.531,0
133.2,0.642,86.3,1,0.119,0.6,5.1,0.179,0.441,0.776,1,1,0.169,0
239.5,0.947,75.1,4,0.242,0.343,1.9,0.536,0.541,0.619,1,2,0.442,0
64.3,0.699,76.4,4,0.619,0.743,4.6,0.975,0.194,0.767,1,1,0.192,1
172.4,0.19,48.0,5,0.84,0.405,5.8,0.62,0.313,0.456,0,1,0.034,1
30.0,0.43,53.6,5,0.492,0.9,1.6,0.389,0.39,0.798,1,1,0.621,1
106.8,0.597,72.3,7,0.349,0.668,9.1,0.486,0.338,0.711,0,0,0.129,0
152.3,0.857,80.9,1,0.216,0.594,6.5,0.652,0.56,0.455,1,0,0.233,1
324.5,0.312,56.2,5,0.556,0.547,3.2,0.424,0.408,0.846,1,1,0.51,1
372.2,0.924,73.6,3,0.415,0.69,8.3,0.903,0.788,0.81,1,2,0.744,1
144.0,0.377,52.8,2,0.017,0.726,9.5,0.295,0.684,0.812,0,0,0.75,0
448.4,0.572,62.2,11,0.106,0.728,8.9,0.518,0.791,0.664,1,2,0.633,0
236.3,0.581,68.4,6,0.82,0.668,2.4,0.801,0.428,0.826,1,2,0.562,1
191.4,0.638,73.3,6,0.534,0.806,2.8,0.916,0.737,0.721,1,0,0.306,0
42.1,0.7,42.5,5,0.009,0.881,7.7,0.246,0.641,0.814,1,1,0.47,0
181.8,0.079,93.5,4,0.53,0.983,2.1,0.459,0.192,0.806,1,0,0.95,0
365.5,0.564,72.6,6,0.354,0.957,1.4,0.298,0.642,0.581,1,2,0.804,0
238.7,0.705,90.1,3,0.399,0.383,3.0,0.247,0.239,0.596,1,2,0.475,0
176.9,0.693,76.3,9,0.448,0.559,7.0,0.443,0.69,0.598,1,1,0.138,1
275.0,0.298,86.9,3,0.314,0.527,1.5,0.148,0.867,0.738,1,0,0.817,0
6.2,0.401,94.8,5,0.311,0.56,5.4,0.579,0.753,0.831,1,2,0.203,0
209.4,0.452,61.1,5,0.193,0.471,2.4,0.432,0.311,0.43,0,1,0.569,0
374.9,0.77,73.9,8,0.655,0.77,4.5,0.378,0.33,0.763,1,2,0.641,1
339.5,0.621,58.1,0,0.169,0.476,4.0,0.617,0.554,0.727,1,2,0.439,0
236.2,0.937,73.6,5,0.475,0.864,1.9,0.828,0.572,0.855,1,2,0.821,0
392.0,0.823,82.1,4,0.088,0.526,3.3,0.625,0.347,0.429,1,2,0.654,0
81.5,0.13,87.8,0,0.279,0.765,0.4,0.509,0.221,0.939,1,0,0.57,0
113.1,0.228,66.6,2,0.154,0.777,3.9,0.122,0.014,0.892,0,1,0.571,1
455.0,0.287,58.1,5,0.434,0.82,4.8,0.662,0.358,0.67,1,1,0.787,0
228.6,0.728,67.5,4,0.553,0.463,6.5,0.68,0.243,0.506,1,1,0.265,1
188.2,0.708,60.1,5,0.047,0.497,13.3,0.489,0.417,0.462,1,0,0.477,0
213.9,0.533,63.9,6,0.747,0.916,9.3,0.496,0.723,0.911,1,1,0.583,1
131.3,0.753,81.4,4,0.526,0.636,3.3,0.564,0.516,0.853,1,0,0.579,0
195.4,0.58,73.3,7,0.445,0.726,8.7,0.471,0.66,0.737,1,2,0.244,0
241.7,0.754,83.7,7,0.219,0.753,3.6,0.885,0.567,0.793,1,2,0.637,0
167.2,0.675,61.8,6,0.293,0.591,6.0,0.774,0.453,0.349,0,2,0.019,0
92.4,0.431,86.1,3,0.314,0.911,8.8,0.196,0.289,0.537,0,2,0.58,1
194.1,0.647,66.7,0,0.455,0.5,3.2,0.835,0.452,0.446,0,1,0.071,1
161.8,0.63,68.0,4,0.554,0.635,2.9,0.408,0.195,0.873,1,2,0.631,0
